Placa,Fecha,Hora,Latitud,Longitud,Deviceid,Taller Molina,Proveedor
BRK-872,2022-11-06,23:04,-11.9950085,-77.0633698,b8,False,Geotab
BRT-713,2022-11-06,23:03,-12.7519236,-76.6073074,b23,False,Geotab
BRV-856,2022-11-06,23:03,-12.6647549,-76.6282501,b38,False,Geotab
BRU-939,2022-11-06,23:03,-12.6726656,-76.6184692,b31,False,Geotab
BRT-783,2022-11-06,23:02,-11.5609856,-77.266304,b2A,False,Geotab
BRK-860,2022-11-06,23:02,-12.5210371,-76.73423,b7,False,Geotab
BRK-885,2022-11-06,23:02,-11.502285,-77.2168198,bB,False,Geotab
BRT-714,2022-11-06,23:01,-13.7139196,-76.1493225,b24,False,Geotab
BRK-931,2022-11-06,23:01,-12.1984253,-76.9898224,b11,False,Geotab
BRK-942,2022-11-06,23:01,-11.4857216,-77.2142334,b14,False,Geotab
BRT-785,2022-11-06,23:00,-11.5610371,-77.2663269,b2C,False,Geotab
BRS-728,2022-11-06,22:59,-13.4284544,-76.1588974,b21,False,Geotab
BRK-943,2022-11-06,22:59,-11.8639107,-77.0457611,b15,False,Geotab
CBF-256,2022-11-06,22:59,-12.1112576,-77.0322418,b36,False,Geotab
BRK-928,2022-11-06,22:58,-12.0367613,-77.0224152,bF,False,Geotab
BRK-941,2022-11-06,22:58,-11.5394812,-77.252121,b13,False,Geotab
BRK-873,2022-11-06,22:58,-11.9860992,-76.7965469,b9,False,Geotab
BRT-815,2022-11-06,22:57,-12.7651844,-76.5958176,b2F,False,Geotab
BRL-815,2022-11-06,22:56,-11.5610628,-77.266304,b1F,False,Geotab
BRK-927,2022-11-06,22:56,-13.4101763,-76.1539078,bE,False,Geotab
BRT-822,2022-11-06,22:56,-11.4917631,-77.2052994,b30,False,Geotab
BRK-757,2022-11-06,22:55,-12.0329981,-77.0360794,b2,False,Geotab
BRO-752,2022-11-06,22:55,-13.4234114,-76.1172256,b20,False,Geotab
BRK-823,2022-11-06,22:54,-12.2394629,-76.9196548,b3,False,Geotab
BRL-729,2022-11-06,22:54,-12.1084929,-77.0177307,b16,False,Geotab
BRL-754,2022-11-06,22:53,-12.2284546,-76.9287186,b1C,False,Geotab
BRK-886,2022-11-06,22:53,-12.1382656,-77.0198288,bC,False,Geotab
BRL-769,2022-11-06,22:52,-11.9788036,-77.0640411,b1E,False,Geotab
BRK-874,2022-11-06,22:51,-12.0845566,-77.0534897,bA,False,Geotab
BRL-732,2022-11-06,22:50,-12.103322,-76.9733124,b19,False,Geotab
BRK-932,2022-11-06,22:50,-11.9929342,-77.0918121,b12,False,Geotab
BRL-767,2022-11-06,22:49,-11.9094276,-77.0541077,b1D,False,Geotab
BRT-752,2022-11-06,22:49,-12.1176834,-77.0062561,b29,False,Geotab
BRU-947,2022-11-06,22:47,-11.5659008,-77.2646179,b33,False,Geotab
BRK-859,2022-11-06,22:46,-12.1084929,-77.0175476,b6,False,Geotab
BRL-730,2022-11-06,22:46,-12.1084671,-77.0177765,b17,False,Geotab
ERM-932,2022-11-06,22:46,-12.0850687,-76.9615631,b37,False,Geotab
BRT-784,2022-11-06,22:46,-10.7736578,-77.7461243,b2B,False,Geotab
BRT-788,2022-11-06,22:44,-12.1084929,-77.0176773,b2D,False,Geotab
BRT-749,2022-11-06,22:43,-8.10542107,-79.0177307,b26,False,Geotab
BRL-731,2022-11-06,22:42,-12.517683,-76.7339554,b18,False,Geotab
BRT-711,2022-11-06,22:42,-13.4137344,-76.1265411,b22,False,Geotab
BRT-715,2022-11-06,22:42,-11.4982405,-77.2075043,b25,False,Geotab
BRT-750,2022-11-06,22:41,-11.9349756,-76.9602814,b27,False,Geotab
CAY-157,2022-11-06,22:41,-12.1042433,-76.9746933,b35,False,Geotab
BRK-907,2022-11-06,22:41,-12.0926723,-76.9426193,bD,False,Geotab
BRT-814,2022-11-06,22:40,-12.0338945,-77.0588913,b2E,False,Geotab
BRU-946,2022-11-06,22:40,-11.9708157,-77.0762482,b32,False,Geotab
BRK-930,2022-11-06,22:38,-11.8162432,-77.1577835,b10,False,Geotab
BRT-751,2022-11-06,22:37,-12.0046844,-77.0820618,b28,False,Geotab
BKD-764,2022-11-06,22:36,-11.5591164,-77.2696609,b1,False,Geotab
BRL-752,2022-11-06,22:36,-8.10324478,-79.0293732,b1A,False,Geotab
BRL-753,2022-11-06,22:35,-12.10816,-77.0173721,b1B,False,Geotab
BRK-855,2022-11-06,22:35,-13.4288387,-76.1272354,b4,False,Geotab
BRK-858,2022-11-06,22:34,-11.4546175,-77.2485657,b5,False,Geotab
BRW-708,2022-11-04,19:20,-12.1698561,-76.992897,b34,False,Geotab
9BRB29BT1P2279089,2022-11-06,23:04,-12.0423422,-77.0169067,b4,False,Geotab
9BRB29BT5P2279077,2022-11-06,23:01,-11.9468803,-77.0719452,b1,False,Geotab
9BRB29BT4P2279071,2022-11-06,22:50,-11.9752445,-77.0373383,b8,False,Geotab
9BRB29BT9P2279051,2022-11-06,22:50,-12.0469246,-76.8968964,b3,False,Geotab
9BRB29BT7P2279470,2022-11-06,22:48,-11.9754238,-76.7681274,bB,False,Geotab
9BRB29BT9P2279048,2022-11-06,22:47,-12.0795135,-76.9936676,b9,False,Geotab
9BRB29BT1P2279030,2022-11-06,22:47,-12.0701694,-77.0685425,b2,False,Geotab
9BRB29BTXP2279432,2022-11-06,22:47,-11.9758844,-76.992691,bD,False,Geotab
9BRB29BT1P2279013,2022-11-06,22:45,-11.8265343,-77.1178513,b7,False,Geotab
9BRB29BT5P2279323,2022-11-06,22:43,-12.0503292,-77.0573044,bA,False,Geotab
9BRB29BT6P2279105,2022-11-06,22:41,-12.0580349,-77.0061035,b6,False,Geotab
9BRB29BT7P2279386,2022-11-06,22:36,-11.9612417,-77.0786819,bC,False,Geotab
9BRB29BT7P2279162,2022-11-06,22:36,-11.9624195,-76.9897232,b5,False,Geotab
Mitsui CBN-633 Rav4,2022-11-06,16:38,-12.1029119,-77.0475235,b3,False,Geotab
Mitsui CBN-632 4runner,2022-11-05,17:56,-12.0918274,-77.0288162,b2,False,Geotab
Mitsui CBN-054 Prado,2022-11-03,11:40,-12.0919037,-77.0288162,b1,False,Geotab
BSA-723,2022-11-06,23:03,-16.4253178,-71.564209,b1,False,Geotab
BSA-844,2022-11-06,22:54,-6.56729603,-78.6488571,b3,False,Geotab
CBP-165,2022-11-06,22:48,-12.1006594,-76.9941254,bA,False,Geotab
CBK-484,2022-11-06,22:47,-12.1747456,-77.0003204,b8,False,Geotab
CBK-240,2022-11-06,22:46,-12.1163006,-77.0130157,b7,False,Geotab
BSA-882,2022-11-06,22:39,-7.16659212,-78.506958,b5,False,Geotab
BSA-805,2022-11-06,22:38,-8.13539886,-79.0415344,b2,False,Geotab
CBO-616,2022-11-06,22:37,-12.1531391,-76.9885941,b9,False,Geotab
BSB-836,2022-11-06,22:37,-15.8690052,-69.9910431,b6,False,Geotab
CBQ-411,2022-11-06,22:36,-12.0589314,-76.9439774,bB,False,Geotab
BSA-857,2022-11-06,21:18,-5.70775032,-78.8036575,b4,False,Geotab
