placa,fecha,hora,latitud,longitud,deviceid
BRT-784,2022-11-06,18:08,-10.7936516,-77.7323532,b2B
BRT-750,2022-11-06,18:08,-11.9190788,-76.966095,b27
BRK-930,2022-11-06,18:08,-11.8162432,-77.1577835,b10
BRT-715,2022-11-06,18:08,-11.8458109,-77.0979309,b25
BRK-872,2022-11-06,18:07,-12.0066051,-77.126709,b8
BRU-939,2022-11-06,18:07,-12.6700802,-76.6190872,b31
BRT-751,2022-11-06,18:07,-12.0046844,-77.0820618,b28
BRT-814,2022-11-06,18:06,-12.0864,-77.0468826,b2E
BRL-815,2022-11-06,18:06,-11.071744,-77.5981598,b1F
BRT-714,2022-11-06,18:06,-13.4122496,-76.1419296,b24
BRL-752,2022-11-06,18:06,-8.12326431,-79.0401764,b1A
BRL-753,2022-11-06,18:05,-12.10816,-77.0173721,b1B
BRL-731,2022-11-06,18:05,-12.5176067,-76.7339554,b18
BRK-855,2022-11-06,18:05,-13.4288387,-76.1272354,b4
BRV-856,2022-11-06,18:03,-12.6647549,-76.6282501,b38
BRK-873,2022-11-06,18:03,-12.0868607,-76.9784851,b9
BRK-858,2022-11-06,18:02,-11.4546175,-77.2485657,b5
BRT-752,2022-11-06,18:02,-12.1049347,-76.9920273,b29
BRK-860,2022-11-06,18:02,-12.5210371,-76.73423,b7
BRK-931,2022-11-06,18:01,-12.1984253,-76.9898224,b11
BRK-942,2022-11-06,18:01,-11.4857216,-77.2142334,b14
BRS-728,2022-11-06,17:59,-13.4284544,-76.1588974,b21
CBF-256,2022-11-06,17:59,-12.1112576,-77.0322418,b36
BRT-815,2022-11-06,17:58,-12.6608639,-76.6313705,b2F
BRK-885,2022-11-06,17:57,-11.5025406,-77.2169724,bB
BRK-927,2022-11-06,17:56,-13.4101763,-76.1539078,bE
BRT-822,2022-11-06,17:55,-11.4917631,-77.2052994,b30
BRK-943,2022-11-06,17:55,-11.8639107,-77.0457611,b15
BRK-941,2022-11-06,17:55,-11.5019007,-77.2254181,b13
BRK-928,2022-11-06,17:55,-12.0772867,-77.0815201,bF
BRK-823,2022-11-06,17:54,-12.2394629,-76.9196548,b3
BRL-729,2022-11-06,17:54,-12.1084929,-77.0177307,b16
BRL-754,2022-11-06,17:53,-12.2284546,-76.9287186,b1C
BRL-769,2022-11-06,17:52,-11.9788036,-77.0640411,b1E
BRK-757,2022-11-06,17:51,-12.0329981,-77.0360794,b2
BRK-874,2022-11-06,17:51,-12.0845566,-77.0534897,bA
BRO-752,2022-11-06,17:51,-13.4234114,-76.1172256,b20
BRL-732,2022-11-06,17:50,-12.103322,-76.9733124,b19
BRU-946,2022-11-06,17:50,-11.9707909,-77.0762787,b32
BRK-932,2022-11-06,17:50,-11.9929342,-77.0918121,b12
BRL-767,2022-11-06,17:49,-11.9094276,-77.0541077,b1D
BRT-713,2022-11-06,17:47,-12.2862597,-76.8744736,b23
BRK-886,2022-11-06,17:47,-12.1383171,-77.0200806,bC
ERM-932,2022-11-06,17:46,-12.0850687,-76.9615631,b37
BRL-730,2022-11-06,17:46,-12.1084671,-77.0177765,b17
BRK-859,2022-11-06,17:46,-11.5923967,-77.2601318,b6
BRT-749,2022-11-06,17:43,-8.10542107,-79.0177307,b26
BRT-711,2022-11-06,17:42,-13.4137344,-76.1265411,b22
BRK-907,2022-11-06,17:41,-12.0926723,-76.9426193,bD
BKD-764,2022-11-06,17:36,-11.5593472,-77.269455,b1
CAY-157,2022-11-06,17:35,-12.1041412,-76.9745941,b35
BRT-783,2022-11-06,17:30,-11.5609856,-77.266304,b2A
BRT-785,2022-11-06,17:15,-11.5610371,-77.2663269,b2C
BRU-947,2022-11-06,17:15,-11.5659008,-77.2646179,b33
BRT-788,2022-11-05,23:44,-12.1084929,-77.0176773,b2D
BRW-708,2022-11-04,19:20,-12.1698561,-76.992897,b34
